City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
147,Puerto Ayora,EC,2021-09-17 21:44:04,-0.7393,-90.3518,70.56,89,97,5.99,overcast clouds
148,Nome,US,2021-09-17 21:46:27,64.5011,-165.4064,42.17,72,56,11.52,broken clouds
149,Leningradskiy,RU,2021-09-17 21:46:16,69.3833,178.4167,31.78,96,100,1.54,light snow
150,Kamenka,RU,2021-09-17 21:48:30,51.3223,42.7678,47.55,67,100,6.98,light rain
151,Kabompo,ZM,2021-09-17 21:48:30,-13.5927,24.2008,70.86,27,13,5.19,few clouds
152,Torbay,CA,2021-09-17 21:48:31,47.6666,-52.7314,61.57,73,1,6.69,clear sky
153,Freeport,US,2021-09-17 21:44:08,40.6576,-73.5832,76.1,87,76,1.99,broken clouds
154,Tulu Bolo,ET,2021-09-17 21:48:31,8.6667,38.2167,56.59,85,93,1.01,overcast clouds
155,Hasaki,JP,2021-09-17 21:44:03,35.7333,140.8333,77.27,79,100,24.74,overcast clouds
156,Qaqortoq,GL,2021-09-17 21:48:32,60.7167,-46.0333,40.12,77,4,9.71,clear sky
157,Bartica,GY,2021-09-17 21:48:32,6.4,-58.6167,79.77,77,76,5.61,broken clouds
158,Hermanus,ZA,2021-09-17 21:45:45,-34.4187,19.2345,54.81,75,0,20.31,clear sky
159,Lakes Entrance,AU,2021-09-17 21:48:33,-37.8811,147.981,59.58,88,56,6.08,broken clouds
160,Isangel,VU,2021-09-17 21:38:59,-19.55,169.2667,71.64,79,100,18.41,overcast clouds
161,Upernavik,GL,2021-09-17 21:46:07,72.7868,-56.1549,30.29,83,100,12.15,light snow
162,Flinders,AU,2021-09-17 21:48:34,-34.5833,150.8552,67.05,77,68,7.0,light rain
163,Salinopolis,BR,2021-09-17 21:48:34,-0.6136,-47.3561,79.65,81,7,11.01,clear sky
164,Butaritari,KI,2021-09-17 21:38:57,3.0707,172.7902,81.41,76,67,12.77,broken clouds
165,New Milford,US,2021-09-17 21:48:35,40.9327,-74.0179,76.03,87,70,1.01,broken clouds
166,Leh,IN,2021-09-17 21:44:29,34.1667,77.5833,55.27,28,0,4.9,clear sky
167,Kodiak,US,2021-09-17 21:44:16,57.79,-152.4072,52.99,74,31,8.75,scattered clouds
168,Praia Da Vitoria,PT,2021-09-17 21:45:59,38.7333,-27.0667,68.76,78,97,7.45,overcast clouds
169,Negombo,LK,2021-09-17 21:48:36,7.2083,79.8358,79.93,87,100,10.18,overcast clouds
170,Methoni,GR,2021-09-17 21:48:36,36.8197,21.7049,78.22,75,27,12.1,scattered clouds
171,Port-Gentil,GA,2021-09-17 21:48:36,-0.7193,8.7815,77.92,84,100,14.12,overcast clouds
172,Norman Wells,CA,2021-09-17 21:48:37,65.282,-126.8329,53.2,56,100,11.07,overcast clouds
173,Lazaro Cardenas,MX,2021-09-17 21:48:37,17.9583,-102.2,83.46,75,74,6.08,broken clouds
174,Pozo Colorado,PY,2021-09-17 21:48:37,-23.4923,-58.7972,86.85,37,18,1.97,few clouds
175,Turayf,SA,2021-09-17 21:48:38,31.6725,38.6637,76.5,37,0,7.34,clear sky
176,Nantucket,US,2021-09-17 21:46:02,41.2835,-70.0995,75.09,93,84,13.53,broken clouds
177,Tateyama,JP,2021-09-17 21:48:38,34.9833,139.8667,77.67,82,100,25.19,light rain
178,Chimbote,PE,2021-09-17 21:48:39,-9.0853,-78.5783,64.6,76,43,11.39,scattered clouds
179,Tautira,PF,2021-09-17 21:48:39,-17.7333,-149.15,77.05,77,46,22.35,scattered clouds
180,Maua,BR,2021-09-17 21:48:40,-23.6678,-46.4614,69.12,47,84,7.18,broken clouds
181,Faanui,PF,2021-09-17 21:39:01,-16.4833,-151.75,79.16,73,0,20.76,clear sky
182,Saint-Pierre,RE,2021-09-17 21:44:26,-21.3393,55.4781,68.29,73,6,1.01,clear sky
183,Nisia Floresta,BR,2021-09-17 21:48:40,-6.0911,-35.2086,76.37,81,77,12.55,broken clouds
184,Dakar,SN,2021-09-17 21:44:52,14.6937,-17.4441,81.25,80,88,10.13,overcast clouds
185,Pyaozerskiy,RU,2021-09-17 21:48:41,65.8333,31.1667,38.84,74,52,1.95,broken clouds
186,Shaoyang,CN,2021-09-17 21:48:41,27.2315,111.4525,75.78,76,88,2.59,light rain
187,Provideniya,RU,2021-09-17 21:48:41,64.3833,-173.3,41.67,68,100,10.27,overcast clouds
188,Hofn,IS,2021-09-17 21:48:42,64.2539,-15.2082,50.74,92,79,6.89,broken clouds
189,Vardo,NO,2021-09-17 21:48:42,70.3705,31.1107,44.8,74,99,13.85,overcast clouds
190,Prince Rupert,CA,2021-09-17 21:48:42,54.3161,-130.3201,46.76,89,100,9.66,light rain
191,Sitka,US,2021-09-17 21:48:43,57.0531,-135.33,49.77,82,99,5.86,overcast clouds
192,Buritis,BR,2021-09-17 21:48:43,-15.6178,-46.4233,78.55,19,0,4.18,clear sky
193,Rundu,NA,2021-09-17 21:48:44,-17.9333,19.7667,68.81,16,0,7.54,clear sky
194,Nhulunbuy,AU,2021-09-17 21:48:44,-12.2333,136.7667,79.54,61,37,17.02,scattered clouds
195,Cherskiy,RU,2021-09-17 21:38:34,68.75,161.3,40.78,79,100,6.55,overcast clouds
196,Kouango,CF,2021-09-17 21:48:44,4.9934,19.9619,67.69,97,90,1.61,overcast clouds
197,Panagar,IN,2021-09-17 21:48:45,23.3,79.9833,72.77,95,96,5.5,overcast clouds
198,Kosonsoy,UZ,2021-09-17 21:48:45,41.2561,71.5508,66.58,21,0,5.53,clear sky
199,Nicolas Bravo,MX,2021-09-17 21:48:45,18.45,-88.9167,88.02,61,92,6.98,overcast clouds
200,Pacific Grove,US,2021-09-17 21:48:46,36.6177,-121.9166,79.75,77,35,5.01,scattered clouds
201,Karachi,PK,2021-09-17 21:48:46,24.9056,67.0822,82.6,79,79,9.37,broken clouds
202,Roald,NO,2021-09-17 21:48:46,62.5833,6.1333,54.34,85,100,1.57,overcast clouds
203,Souillac,MU,2021-09-17 21:48:47,-20.5167,57.5167,72.36,84,36,4.9,scattered clouds
204,Qaanaaq,GL,2021-09-17 21:38:58,77.484,-69.3632,10.26,69,7,7.2,clear sky
205,Maridi,SS,2021-09-17 21:48:48,4.9158,29.4742,67.1,99,100,4.09,light rain
206,Seoul,KR,2021-09-17 21:48:48,37.5683,126.9778,65.79,74,39,2.68,scattered clouds
207,Yellowknife,CA,2021-09-17 21:39:00,62.456,-114.3525,48.74,52,49,11.81,scattered clouds
208,Rawson,AR,2021-09-17 21:46:38,-43.3002,-65.1023,62.11,36,70,6.22,broken clouds
209,Kemin,KG,2021-09-17 21:48:48,42.7846,75.6892,65.08,29,23,5.17,few clouds
210,Bonavista,CA,2021-09-17 21:46:06,48.6499,-53.1147,62.11,70,8,13.62,clear sky
211,Khandyga,RU,2021-09-17 21:48:49,62.6667,135.6,44.37,87,86,7.27,overcast clouds
212,Clyde River,CA,2021-09-17 21:38:59,70.4692,-68.5914,30.69,69,87,0.56,overcast clouds
